"ID","CAST","CAT"
412,"Empleados de registro de materiales, de servicios de apoyo a la produccion y al transporte","Empleats de registre de materials, de serveis de suport a la produccio i al transport"
4121,"Empleados de control de abastecimientos e inventario","Empleats de control de subministrament i inventari"
4122,"Empleados de oficina de servicios de apoyo a la produccion","Empleats d'oficina de serveis de suport a la produccio"
4123,"Empleados de logistica y transporte de pasajeros y mercancias","Empleats de logistica i transport de passatgers i mercaderies"
42,"Empleados de bibliotecas, servicios de correos y afines","Empleats de biblioteques, serveis de correus i similars"
4210,"Empleados de bibliotecas y archivos","Empleats de biblioteques i arxius"
422,"Empleados de servicios de correos, codificadores, correctores y servicios de personal","Empleats de serveis de correus, codificadors, correctors i serveis de personal"
4221,"Empleados de servicios de correos (excepto empleados de mostrador)","Empleats de serveis de correus (excepte empleats de finestreta)"
4222,"Codificadores y correctores de imprenta","Codificadors i correctors d'impremta"
4223,"Empleados de servicio de personal","Empleats de serveis de personal"
430,"Otros empleados administrativos sin tareas de atencion al publico","Altres empleats administratius sense tasques d'atencio al public"
4301,"Grabadores de datos","Introductors de dades"
4309,"Empleados administrativos sin tareas de atencion al publico no clasificados bajo otros epigrafes","Altres empleats administratius sense tasques d'atencio al public ncaa"
"F","Empleados de oficina que atienden al publico","Empleats d'oficina amb tasques d'atencio al public"
44,"Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y afines (excepto taquilleros)","Empleats d'agencies de viatges, recepcionistes i telefonistes, empleats de finestreta i similars (excepte taquillers)"
441,"Empleados de informacion y recepcionistas (excepto de hoteles)","Empleats d'informacio i recepcionistes (excepte d'hotels)"
4411,"Empleados de informacion al usuario","Empleats d'informacio a l'usuari"
4412,"Recepcionistas (excepto de hoteles)","Recepcionistes (excepte d'hotels)"
442,"Empleados de agencias de viajes, recepcionistas de hoteles y telefonistas","Empleats d'agencies de viatges, recepcionistes d'hotels i telefonistes"
4421,"Empleados de agencias de viajes","Empleats d'agencies de viatges"
4422,"Recepcionistas de hoteles","Recepcionistes d'hotels"
4423,"Telefonistas","Telefonistes"
4424,"Teleoperadores","Teleoperadors"
4430,"Agentes de encuestas","Agents d'enquestes"
444,"Empleados de ventanilla y afines (excepto taquilleros)","Empleats de finestreta i similars (excepte taquillers)"
4441,"Cajeros de bancos y afines","Caixers de bancs i similars"
4442,"Empleados de venta de apuestas","Empleats de venda d'apostes"
4443,"Empleados de sala de juegos y afines","Empleats de sales de joc i similars"
4444,"Empleados de casas de empeño y de prestamos","Empleats de cases d'empenyorament i de prestecs"
4445,"Cobradores de facturas, deudas y empleados afines","Cobradors de factures, deutes i empleats similars"
4446,"Empleados de mostrador de correos","Empleats de finestreta de correus"
4500,"Empleados administrativos con tareas de atencion al publico no clasificados bajo otros epigrafes","Empleats administratius amb tasques d'atencio al public ncaa"
5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores","Treballadors dels serveis de restauracio, personals, proteccio i venedors"
5000,"Camareros y cocineros propietarios","Cambrers i cuiners propietaris"
51,"Trabajadores asalariados de los servicios de restauracion","Treballadors assalariats dels serveis de restauracio"
5110,"Cocineros asalariados","Cuiners assalariats"
5120,"Camareros asalariados","Cambrers assalariats"
52,"Dependientes en tiendas y almacenes","Dependents de botigues i magatzems"
5210,"Jefes de seccion de tiendas y almacenes","Encarregats de seccio de botigues i magatzems"
5220,"Vendedores en tiendas y almacenes","Venedors de botigues i magatzems"
5300,"Comerciantes propietarios de tiendas","Comerciants propietaris de botigues"
54,"Vendedores (excepto en tiendas y almacenes)","Venedors (excepte de botigues i magatzems)"
541,"Vendedores en quioscos o en mercadillos","Venedors de quioscos i de parades de mercat"
5411,"Vendedores en quioscos","Venedors de quioscos"
5412,"Vendedores en mercados ocasionales y mercadillos","Venedors de parades de mercat i mercats ocasionals"
5420,"Operadores de telemarketing","Operadors de telemarqueting"
5430,"Expendedores de gasolineras","Expenedors de gasolina"
549,"Otros vendedores","Altres venedors"
5491,"Vendedores a domicilio","Venedors a domicili"
5492,"Promotores de venta","Promotors de venda"
5493,"Modelos de moda, arte y publicidad","Models de moda, art i publicitat"
5499,"Vendedores no clasificados bajo otros epigrafes","Altres venedors ncaa"
5500,"Cajeros y taquilleros (excepto bancos)","Caixers i taquillers (excepte de banca)"
56,"Trabajadores de los cuidados a las personas en servicios de salud","Treballadors que tenen cura de les persones en serveis de salut"
561,"Auxiliares de enfermeria","Auxiliars d'infermeria"
5611,"Auxiliares de enfermeria hospitalaria","Auxiliars d'infermeria hospitalaria"
5612,"Auxiliares de enfermeria de atencion primaria","Auxiliars d'infermeria d'atencio primaria"
562,"Tecnicos auxiliares de farmacia y emergencias sanitarias y otros trabajadores de los cuidados a las personas en servicios de salud","Tecnics auxiliars de farmacia i emergencies sanitaries i altres treballadors que tenen cura de les persones en serveis de salut"
5621,"Tecnicos auxiliares de farmacia","Tecnics auxiliars de farmacia"
5622,"Tecnicos de emergencias sanitarias","Tecnics d'emergencies sanitaries"
5629,"Trabajadores de los cuidados a las personas en servicios de salud no clasificados bajo otros epigrafes","Altres treballadors que tenen cura de les persones en serveis de salut"
57,"Otros trabajadores de los cuidados a las personas","Altres treballadors que tenen cura de les persones"
5710,"Trabajadores de los cuidados personales a domicilio","Treballadors que tenen cura de les persones a domicili (excepte mainaders)"
572,"Cuidadores de niños","Mainaders"
5721,"Cuidadores de niños en guarderias y centros educativos","Mainaders a llars d'infants o escoles bressol"
5722,"Cuidadores de niños en domicilios","Mainaders a les llars"
58,"Trabajadores de los servicios personales","Treballadors de serveis personals"
581,"Peluqueros y especialistas en tratamientos de estetica, bienestar y afines","Perruquers i especialistes en tractaments d'estetica, benestar i similars"
5811,"Peluqueros","Perruquers"
5812,"Especialistas en tratamientos de estetica, bienestar y afines","Especialistes en tractaments d'estetica, benestar i similars"
582,"Trabajadores que atienden a viajeros, guias turisticos y afines","Treballadors que atenen passatgers, guies turistics i similars"
5821,"Auxiliares de vuelo y camareros de avion, barco y tren","Auxiliars de vol i cambrers d'avio, vaixell i tren"
5822,"Revisores y cobradores de transporte terrestre","Revisors i cobradors del transport terrestre"
5823,"Acompañantes turisticos","Acompanyants turistics"
5824,"Azafatos de tierra","Hostesses de terra"
5825,"Guias de turismo","Guies de turisme"
583,"Supervisores de mantenimiento y limpieza de edificios, conserjes y mayordomos domesticos","Supervisors de manteniment i neteja d'edificis, conserges i majordoms domestics"
5831,"Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos","Supervisors de manteniment i neteja d'oficines, hotels i altres establiments"
5832,"Mayordomos del servicio domestico","Majordoms domestics"
5833,"Conserjes de edificios","Conserges d'edificis"
5840,"Trabajadores propietarios de pequeños alojamientos","Treballadors propietaris de petits allotjaments"
589,"Otros trabajadores de servicios personales","Altres treballadors de serveis personals"
5891,"Asistentes personales o personas de compañia","Assistents personals o persones de companyia"
5892,"Empleados de pompas funebres y embalsamadores","Empleats de pompes funebres i embalsamadors"
5893,"Cuidadores de animales y adiestradores","Cuidadors d'animals i ensinistradors"
5894,"Instructores de autoescuela","Instructors d'autoescola"
5895,"Astrologos, adivinadores y afines","Astrolegs, endevins i similars"
5899,"Trabajadores de servicios personales no clasificados bajo otros epigrafes","Altres treballadors de serveis personals ncaa"
59,"Trabajadores de los servicios de proteccion y seguridad","Treballadors dels serveis de proteccio i seguretat"
5910,"Guardias civiles","Guardies civils"
592,"Policias","Policies"
5921,"Policias nacionales","Policies nacionals"
5922,"Policias autonomicos","Policies autonomics"
5923,"Policias locales","Policies locals"
593,"Bomberos","Bombers"
5931,"Bomberos (excepto forestales)","Bombers (excepte forestals)"
5932,"Bomberos forestales","Bombers forestals"
594,"Personal de seguridad privado","Personal de seguretat privada"
5941,"Vigilantes de seguridad y similares habilitados para ir armados","Vigilants de seguretat i similars habilitats per a portar armes"
5942,"Auxiliares de vigilante de seguridad y similares no habilitados para ir armados","Auxiliars de vigilant de seguretat i similars no habilitats per a portar armes"
599,"Otros trabajadores de los servicios de proteccion y seguridad","Altres treballadors dels serveis de proteccio i seguretat"
5991,"Vigilantes de prisiones","Vigilants de centres penitenciaris (presons)"
5992,"Bañistas-socorristas","Vigilants de piscines i platges, socorristes"
5993,"Agentes forestales y medioambientales","Agents forestals i mediambientals"
5999,"Trabajadores de los servicios de proteccion y seguridad no clasificados bajo otros epigrafes","Altres treballadors dels serveis de proteccio i seguretat ncaa"
6,"Trabajadores cualificados en el sector agricola, ganadero, forestal y pesquero","Treballadors qualificats en activitats agricoles, ramaderes, forestals i pesqueres"
61,"Trabajadores cualificados en actividades agricolas","Treballadors qualificats en activitats agricoles"
6110,"Trabajadores cualificados en actividades agricolas (excepto en huertas, invernaderos, viveros y jardines)","Treballadors qualificats en activitats agricoles (excepte hortes, hivernacles, planters i jardins)"
6120,"Trabajadores cualificados en huertas, invernaderos, viveros y jardines","Treballadors qualificats en hortes, hivernacles, planters i jardins"
620,"Trabajadores cualificados en actividades ganaderas (incluidas avicolas, apicolas y similares)","Treballadors qualificats en activitats ramaderes (incloses les avicoles, apicoles i similars)"
6201,"Trabajadores cualificados en actividades ganaderas de vacuno","Treballadors qualificats en activitats ramaderes de bestiar bovi"
6202,"Trabajadores cualificados en actividades ganaderas de ovino y caprino","Treballadors qualificats en activitats ramaderes de bestiar ovi i cabrum"
6203,"Trabajadores cualificados en actividades ganaderas de porcino","Treballadors qualificats en activitats ramaderes de bestiar porci"
6204,"Trabajadores cualificados en apicultura y sericicultura","Treballadors qualificats en apicultura i sericicultura"
6205,"Trabajadores cualificados en la avicultura y la cunicultura","Treballadors qualificats en avicultura i cunicultura"
6209,"Trabajadores cualificados en actividades ganaderas no clasificados bajo otros epigrafes","Treballadors qualificats en activitats ramaderes ncaa"
6300,"Trabajadores cualificados en actividades agropecuarias mixtas","Treballadors qualificats en activitats agropecuaries mixtes"
64,"Trabajadores cualificados en actividades forestales, pesqueras y cinegeticas","Treballadors qualificats en activitats forestals, pesqueres i cinegetiques"
6410,"Trabajadores cualificados en actividades forestales y del medio natural","Treballadors qualificats en activitats forestals i del medi natural"
642,"Trabajadores cualificados en actividades pesqueras y acuicultura","Treballadors qualificats en activitats pesqueres i d'aqüicultura"
6421,"Trabajadores cualificados en la acuicultura","Treballadors qualificats en aqüicultura"
6422,"Pescadores de aguas costeras y aguas dulces","Pescadors fluvials i de litoral"
6423,"Pescadores de altura","Pescadors d'altura"
6430,"Trabajadores cualificados en actividades cinegeticas","Treballadors qualificats en activitats cinegetiques"
7,"Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria)","Artesans i treballadors qualificats de les industries manufactureres i la construccio (excepte operadors d'instal·lacions i maquines)"
71,"Trabajadores en obras estructurales de construccion y afines","Treballadors d'obres estructurals de la construccio i similars"
711,"Trabajadores en hormigon, encofradores, ferrallistas y afines","Treballadors del formigo, encofradors, ferrallistes i similars"
7111,"Encofradores y operarios de puesta en obra de hormigon","Encofradors i operaris de la posada en obra del formigo"
7112,"Montadores de prefabricados estructurales (solo hormigon)","Muntadors de prefabricats estructurals (nomes de formigo)"
712,"Albañiles, canteros, tronzadores, labrantes y grabadores de piedras","Paletes, pedrers, trossejadors, picadors i gravadors de pedra"
7121,"Albañiles","Paletes"
7122,"Canteros, tronzadores, labrantes y grabadores de piedras","Pedrers, trossejadors, picadors i gravadors de pedra"
713,"Carpinteros (excepto ebanistas y montadores de estructuras metalicas)","Fusters (excepte ebenistes i muntadors d'estructures metal·liques)"
7131,"Carpinteros (excepto ebanistas)","Fusters (excepte ebenistes)"
7132,"Instaladores de cerramientos metalicos y carpinteros metalicos (excepto montadores de estructuras metalicas)","Instal·ladors i muntadors de tancaments metal·lics (excepte muntadors d'estructures metal·liques)"
719,"Otros trabajadores de las obras estructurales de construccion","Altres treballadors d'obres estructurals de la construccio"
7191,"Mantenedores de edificios","Treballadors de manteniment d'edificis"
7192,"Instaladores de fachadas tecnicas","Instal·ladors de façanes tecniques"
7193,"Instaladores de sistemas de impermeabilizacion en edificios","Instal·ladors de sistemes d'impermeabilitzacio en edificis"
7199,"Otros trabajadores de las obras estructurales de construccion no clasificados bajo otros epigrafes","Altres treballadors d'obres estructurals de la construccio ncaa"
72,"Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines","Treballadors d'acabament de construccions i instal·lacions (excepte electricistes), pintors i similars"
721,"Escayolistas y aplicadores de revestimientos de pasta y mortero","Guixaires i aplicadors de revestiments de pasta i morter"
7211,"Escayolistas","Guixaires"
7212,"Aplicadores de revestimientos de pasta y mortero","Aplicadors de revestiments de pasta i morter"
722,"Fontaneros e instaladores de tuberias","Lampistes i instal·ladors de canonades"
7221,"Fontaneros","Lampistes"
7222,"Montadores-instaladores de gas en edificios","Muntadors instal·ladors de gas en edificis"
7223,"Instaladores de conductos en obra publica","Instal·ladors de canonades en obra publica"
723,"Pintores, empapeladores y afines","Pintors, empaperadors i similars"
7231,"Pintores y empapeladores","Pintors i empaperadors"
7232,"Pintores en las industrias manufactureras","Pintors en les industries manufactureres"
7240,"Soladores, colocadores de parquet y afines","Enrajoladors, parqueters i similars"
7250,"Mecanicos-instaladores de refrigeracion y climatizacion","Mecanics instal·ladors de refrigeracio i climatitzacio"
729,"Otros trabajadores de acabado en la construccion, instalaciones (excepto electricistas) y afines","Altres treballadors d'acabament de construccions i instal·lacions (excepte electricistes) i similars"
7291,"Montadores de cubiertas","Muntadors de cobertes"
7292,"Instaladores de material aislante termico y de insonorizacion","Instal·ladors de material aïllant termic i d'insonoritzacio"
7293,"Cristaleros","Vidriers"
7294,"Montadores-instaladores de placas de energia solar","Muntadors instal·ladors de plaques d'energia solar"
7295,"Personal de limpieza de fachadas de edificios y chimeneas","Personal de neteja de façanes d'edificis i xemeneies"
73,"Soldadores, chapistas, montadores de estructuras metalicas, herreros, elaboradores de herramientas y afines","Soldadors, planxistes, muntadors d'estructures metal·liques, ferrers, fabricants d'eines i similars"
731,"Moldeadores, soldadores, chapistas, montadores de estructuras metalicas y trabajadores afines","Emmotlladors, soldadors, planxistes, muntadors d'estructures metal·liques i treballadors similars"
7311,"Moldeadores y macheros","Emmotlladors i matricers"
7312,"Soldadores y oxicortadores","Soldadors i oxitalladors"
7313,"Chapistas y caldereros","Planxistes i calderers"
7314,"Montadores de estructuras metalicas","Muntadors d'estructures metal·liques"
7315,"Montadores de estructuras cableadas y empalmadores de cables","Muntadors d'estructures cablejades i empalmadors de cables"
732,"Herreros y trabajadores de la fabricacion de herramientas y afines","Ferrers i treballadors de la fabricacio d'eines i similars"
7321,"Herreros y forjadores","Ferrers i forjadors"
7322,"Trabajadores de la fabricacion de herramientas, mecanico-ajustadores, modelistas, matriceros y afines","Treballadors de la fabricacio d'eines, mecanics ajustadors, modelistes, matricers i similars"
7323,"Ajustadores y operadores de maquinas-herramienta","Ajustadors i operadors de maquines eina"
7324,"Pulidores de metales y afiladores de herramientas","Polidors de metalls i esmolets d'eines"
740,"Mecanicos y ajustadores de maquinaria","Mecanics i ajustadors de maquinaria"
7401,"Mecanicos y ajustadores de vehiculos de motor","Mecanics i ajustadors de vehicles de motor"
7402,"Mecanicos y ajustadores de motores de avion","Mecanics i ajustadors de motors d'avio"
7403,"Mecanicos y ajustadores de maquinaria agricola e industrial","Mecanics i ajustadors de maquinaria agricola i industrial"
7404,"Mecanicos y ajustadores de maquinaria naval y ferroviaria","Mecanics i ajustadors de maquinaria naval i ferroviaria"
7405,"Reparadores de bicicletas y afines","Reparadors de bicicletes i similars"
75,"Trabajadores especializados en electricidad y electrotecnologia","Treballadors especialitzats en electricitat i electrotecnologia"
7510,"Electricistas de la construccion y afines","Electricistes de la construccio i similars"
752,"Otros instaladores y reparadores de equipos electricos","Altres instal·ladors i reparadors d'equips electrics"
7521,"Mecanicos y reparadores de equipos electricos","Mecanics i reparadors d'equips electrics"
7522,"Instaladores y reparadores de lineas electricas","Instal·ladors i reparadors de linies electriques"
753,"Instaladores y reparadores de equipos electronicos y de telecomunicaciones","Instal·ladors i reparadors d'equips electronics i de telecomunicacions"
7531,"Mecanicos y reparadores de equipos electronicos","Mecanics i reparadors d'equips electronics"
7532,"Instaladores y reparadores en electromedicina","Instal·ladors i reparadors en electromedicina"
7533,"Instaladores y reparadores en tecnologias de la informacion y las comunicaciones","Instal·ladors i reparadors en tecnologies de la informacio i la comunicacio (TIC)"
76,"Mecanicos de precision en metales, ceramistas, vidrieros, artesanos y trabajadores de artes graficas","Mecanics de precisio en metalls, ceramistes, vidriers, artesans i treballadors de les arts grafiques"
761,"Mecanicos de precision en metales, ceramistas, vidrieros y artesanos","Mecanics de precisio en metalls, ceramistes, vidriers i artesans"
7611,"Relojeros y mecanicos de instrumentos de precision","Rellotgers i mecanics d'instruments de precisio"
7612,"Lutieres y similares; afinadores de instrumentos musicales","Lutiers i similars; afinadors d'instruments musicals"
7613,"Joyeros, orfebres y plateros","Joiers, orfebres i argenters"
7614,"Trabajadores de la ceramica, alfareros y afines","Treballadors de la ceramica, terrissaires i similars"
7615,"Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio","Bufadors, modeladors, laminadors, talladors i polidors de vidre"
7616,"Rotulistas, grabadores de vidrio, pintores decorativos de articulos diversos","Retolistes, gravadors de vidre i pintors decoratius d'articles diversos"
7617,"Artesanos en madera y materiales similares; cesteros, bruceros y trabajadores afines","Artesans de la fusta i materials similars, cistellers, raspallaires i treballadors similars"
7618,"Artesanos en tejidos, cueros y materiales similares, preparadores de fibra y tejedores con telares artesanos o de tejidos de punto y afines","Artesans del textil, cuir i materials similars, preparadors de fibra i teixidors amb telers artesans o de teixits de punt i similars"
7619,"Artesanos no clasificados bajo otros epigrafes","Artesans ncaa"
762,"Oficiales y operarios de las artes graficas","Oficials i operaris de les arts grafiques"
7621,"Trabajadores de procesos de preimpresion","Treballadors de processos de preimpressio"
7622,"Trabajadores de procesos de impresion","Treballadors de processos d'impressio"
7623,"Trabajadores de procesos de encuadernacion","Treballadors de processos d'enquadernacio"
770,"Trabajadores de la industria de la alimentacion, bebidas y tabaco","Treballadors de la industria de l'alimentacio, les begudes i el tabac"
7701,"Matarifes y trabajadores de las industrias carnicas","Matadors i treballadors de les industries carnies"
7702,"Trabajadores de las industrias del pescado","Treballadors de les industries del peix"
7703,"Panaderos, pasteleros y confiteros","Forners, pastissers i confiters"
7704,"Trabajadores del tratamiento de la leche y elaboracion de productos lacteos (incluidos helados)","Treballadors del tractament de la llet i l'elaboracio de productes lactis, inclosos els gelats"
7705,"Trabajadores conserveros de frutas y hortalizas y trabajadores de la elaboracion de bebidas no alcoholicas","Treballadors de la conservacio de fruites i hortalisses i de l'elaboracio de begudes no alcoholiques"
7706,"Trabajadores de la elaboracion de bebidas alcoholicas distintas del vino","Treballadors de l'elaboracio de begudes alcoholiques (excepte el vi)"
7707,"Trabajadores de la elaboracion del vino","Treballadors de l'elaboracio del vi"
7708,"Preparadores y elaboradores del tabaco y sus productos","Preparadors i elaboradors de tabac i productes derivats"
7709,"Catadores y clasificadores de alimentos y bebidas","Degustadors i classificadors d'aliments i begudes"
78,"Trabajadores de la madera, textil, confeccion, piel, cuero, calzado y otros operarios en oficios","Treballadors de la fusta, textil, confeccio, pell, cuir, calçat i altres operaris en oficis"
781,"Trabajadores que tratan la madera y afines","Treballadors del tractament de la fusta i similars"
7811,"Trabajadores del tratamiento de la madera","Treballadors del tractament de la fusta"
7812,"Ajustadores y operadores de maquinas para trabajar la madera","Ajustadors i operadors de maquines de treballar la fusta"
7820,"Ebanistas y trabajadores afines","Ebenistes i treballadors similars"
783,"Trabajadores del textil, confeccion, piel, cuero y calzado","Treballadors del textil, confeccio, pell, cuir i calçat"
7831,"Sastres, modistos, peleteros y sombrereros","Sastres, modistes, pelleters i barreters"
7832,"Patronistas para productos en textil y piel","Patronistes per a productes textils i de pell"
7833,"Cortadores de tejidos, cuero, piel y otros materiales","Talladors de teixits, cuir, pell i altres materials"
7834,"Costureros a mano, bordadores y afines","Cosidors a ma, brodadors i similars"
7835,"Tapiceros, colchoneros y afines","Tapissers, matalassers i similars"
7836,"Curtidores y preparadores de pieles","Adobers i preparadors de pells"
7837,"Zapateros y afines","Sabaters i similars"
789,"Pegadores, buceadores, probadores de productos y otros operarios y artesanos diversos","Artillers metxers de mines, bussos, provadors de productes i altres operaris i artesans diversos"
7891,"Buceadores","Bussos"
7892,"Pegadores","Artillers metxers de mines"
7893,"Clasificadores y probadores de productos (excepto alimentos, bebidas y tabaco)","Classificadors i provadors de productes (excepte aliments, begudes i tabac)"
7894,"Fumigadores y otros controladores de plagas y malas hierbas","Fumigadors i altres controladors de plagues i males herbes"
7899,"Oficiales, operarios y artesanos de otros oficios no clasificados bajo otros epigrafes","Oficials, operaris i artesans d'altres oficis ncaa"
8,"Operadores de instalaciones y maquinaria, y montadores","Operadors d'instal·lacions i maquinaria, i muntadors"
81,"Operadores de instalaciones y maquinaria fijas","Operadors d'instal·lacions i maquinaria fixes"
811,"Operadores en instalaciones de la extraccion y explotacion de minerales","Operadors d'instal·lacions d'extraccio i explotacio de minerals"
8111,"Mineros y otros operadores en instalaciones mineras","Miners i altres operadors d'instal·lacions mineres"
8112,"Operadores en instalaciones para la preparacion de minerales y rocas","Operadors d'instal·lacions de preparacio de minerals i roques"
8113,"Sondistas y trabajadores afines","Sondistes i treballadors similars"
8114,"Operadores de maquinaria para fabricar productos derivados de minerales no metalicos","Operadors de maquines de fabricar productes derivats de minerals no metal·lics"
812,"Operadores en instalaciones para el tratamiento de metales","Operadors d'instal·lacions per al tractament dels metalls"
8121,"Operadores en instalaciones para la obtencion y transformacion de metales","Operadors d'instal·lacions d'obtencio i transformacio de metalls"
8122,"Operadores de maquinas pulidoras, galvanizadoras y recubridoras de metales","Operadors de maquines polidores, galvanitzadores i recobridores de metalls"
813,"Operadores de instalaciones y maquinas de productos quimicos, farmaceuticos y materiales fotosensibles","Operadors d'instal·lacions i maquines de productes quimics, farmaceutics i materials fotosensibles"
8131,"Operadores en plantas industriales quimicas","Operadors de plantes industrials quimiques"
8132,"Operadores de maquinas para fabricar productos farmaceuticos, cosmeticos y afines","Operadors de maquines per fabricar productes farmaceutics, cosmetics i similars"
8133,"Operadores de laboratorios fotograficos y afines","Operadors de laboratoris fotografics i similars"
814,"Operadores en instalaciones para el tratamiento y transformacion de la madera, la fabricacion de papel, productos de papel y caucho o materias plasticas","Operadors d'instal·lacions per el tractament i transformacio de la fusta, la fabricacio de paper, productes de paper i cautxu o materies plastiques"
8141,"Operadores de maquinas para fabricar productos de caucho y derivados de resinas naturales","Operadors de maquines de fabricar productes de cautxu i derivats de resines naturals"
8142,"Operadores de maquinas para fabricar productos de material plastico","Operadors de maquines de fabricar productes de materies plastiques"
8143,"Operadores de maquinas para fabricar productos de papel y carton","Operadors de maquines de fabricar productes de paper i carto"
8144,"Operadores de serrerias, de maquinas de fabricacion de tableros y de instalaciones afines para el tratamiento de la madera y el corcho","Operadors de serradores, de maquines de fabricar taulers i d'instal·lacions similars de tractament de la fusta i el suro"
8145,"Operadores en instalaciones para la preparacion de pasta de papel y fabricacion de papel","Operadors d'instal·lacions de preparacio de pasta de paper i de fabricacio de paper"
815,"Operadores de maquinas para fabricar productos textiles y articulos de piel y de cuero","Operadors de maquines de fabricar productes textils i articles de pell i cuir"
8151,"Operadores de maquinas para preparar fibras, hilar y devanar","Operadors de maquines de preparar fibres, filar i debanar"
8152,"Operadores de telares y otras maquinas tejedoras","Operadors de telers i altres maquines de teixir"
8153,"Operadores de maquinas de coser y bordar","Operadors de maquines de cosir i brodar"
8154,"Operadores de maquinas de blanquear, teñir, estampar y acabar textiles","Operadors de maquines de blanquejar, tenyir, estampar i acabar textils"
8155,"Operadores de maquinas para tratar pieles y cuero","Operadors de maquines de tractar la pell i el cuir"
8156,"Operadores de maquinas para la fabricacion del calzado, marroquineria y guanteria de piel","Operadors de maquines de fabricar calçat, marroquineria i guanteria de pell"
8159,"Operadores de maquinas para fabricar productos textiles no clasificados bajo otros epigrafes","Operadors de maquines de fabricar productes textils ncaa"
8160,"Operadores de maquinas para elaborar productos alimenticios, bebidas y tabaco","Operadors de maquines d'elaborar productes alimentaris, begudes i tabac"
8170,"Operadores de maquinas de lavanderia y tintoreria","Operadors de maquines de bugaderia i tintoreria"
819,"Otros operadores de instalaciones y maquinaria fijas","Altres operadors d'instal·lacions i maquinaria fixes"
8191,"Operadores de hornos e instalaciones de vidrieria y ceramica","Operadors de forns i instal·lacions de vidrieria i ceramica"
8192,"Operadores de calderas y maquinas de vapor","Operadors de calderes i maquines de vapor"
8193,"Operadores de maquinas de embalaje, embotellamiento y etiquetado","Operadors de maquines d'embalatge, embotellament i etiquetatge"
8199,"Operadores de instalaciones y maquinaria fijas no clasificados bajo otros epigrafes","Altres operadors d'instal·lacions i maquinaria fixes ncaa"
820,"Montadores y ensambladores en fabricas","Muntadors i engalzadors en fabriques"
8201,"Ensambladores de maquinaria mecanica","Engalzadors de maquinaria mecanica"
8202,"Ensambladores de equipos electricos y electronicos","Engalzadors d'equips electrics i electronics"
8209,"Montadores y ensambladores no clasificados en otros epigrafes","Muntadors i engalzadors ncaa"
83,"Maquinistas de locomotoras, operadores de maquinaria agricola y de equipos pesados moviles, y marineros","Maquinistes de locomotores, operadors de maquinaria agricola i d'equips pesants mobils, i mariners"
831,"Maquinistas de locomotoras y afines","Maquinistes de locomotores i similars"
8311,"Maquinistas de locomotoras","Maquinistes de locomotores"
8312,"Agentes de maniobras ferroviarias","Agents de maniobres ferroviaries"
832,"Operadores de maquinaria agricola y forestal movil","Operadors de maquinaria agricola i forestal mobil"
8321,"Operadores de maquinaria agricola movil","Operadors de maquinaria agricola mobil"
8322,"Operadores de maquinaria forestal movil","Operadors de maquinaria forestal mobil"
833,"Operadores de otras maquinas moviles","Operadors d'altres maquines mobils"
8331,"Operadores de maquinaria de movimientos de tierras y equipos similares","Operadors de maquinaria de moviments de terres i equips similars"
8332,"Operadores de gruas, montacargas y de maquinaria similar de movimiento de materiales","Operadors de grues, muntacarregues i maquinaria similar de moviment de materials"
8333,"Operadores de carretillas elevadoras","Operadors de carretons elevadors"
8340,"Marineros de puente, marineros de maquinas y afines","Mariners de pont, mariners de maquines i similars"
84,"Conductores de vehiculos para el transporte urbano o por carretera","Conductors de vehicles de transport urba o per carretera"
841,"Conductores de automoviles, taxis y furgonetas","Conductors d'automobils, taxis i furgonetes"
8411,"Conductores propietarios de automoviles, taxis y furgonetas","Conductors propietaris d'automobils, taxis i furgonetes"
8412,"Conductores asalariados de automoviles, taxis y furgonetas","Conductors assalariats d'automobils, taxis i furgonetes"
8420,"Conductores de autobuses y tranvias","Conductors d'autobusos i tramvies"
843,"Conductores de camiones","Conductors de camions"
8431,"Conductores propietarios de camiones","Conductors propietaris de camions"
8432,"Conductores asalariados de camiones","Conductors assalariats de camions"
8440,"Conductores de motocicletas y ciclomotores","Conductors de motocicletes i ciclomotors"
9,"Ocupaciones elementales","Ocupacions elementals"
9100,"Empleados domesticos","Empleats domestics"
9210,"Personal de limpieza de oficinas, hoteles y otros establecimientos similares","Personal de neteja d'oficines, hotels i altres establiments similars"
922,"Limpiadores de vehiculos, ventanas y personal de limpieza a mano","Netejadors de vehicles, finestres i personal de neteja a ma"
9221,"Limpiadores en seco a mano y afines","Netejadors en sec i a ma i similars"
9222,"Limpiadores de vehiculos","Netejadors de vehicles"
9223,"Limpiadores de ventanas","Netejadors de finestres"
9229,"Otro personal de limpieza","Altre tipus de personal de neteja ncaa"
93,"Ayudantes de preparacion de alimentos","Ajudants de preparacio d'aliments"
9310,"Ayudantes de cocina","Ajudants de cuina"
9320,"Preparadores de comidas rapidas","Preparadors de menjar rapid"
