Text,Freq,Codi,Descr_codi,Codi_3,Descr_codi_3,Gran_grup_classif,Descr_gran_grup_clasif
CORAZON,4,41189,Altres formes agudes i subagudes de cardiopatia isquèmica,411,Altres formes agudes i subagudes de cardiopatia isquèmica,07,Malalties de l’aparell circulatori
SINUSITIS,4,4739,Sinusitis (crònica) no especificada,473,Sinusitis crònica,08,Malalties de l’aparell respiratori
DISPEPSIA,4,5368,Dispèpsia i altres trastorns especificats de la funció de l'estómac,536,Trastorns de la funció de l'estómac,09,Malalties de l’aparell digestiu
ARDOR DE ESTOMAGO,4,5369,Trastorn funcional no especificat de l'estómac,536,Trastorns de la funció de l'estómac,09,Malalties de l’aparell digestiu
HERNIA INGUINAL,4,550,Hèrnia inguinal,550,Hèrnia inguinal,09,Malalties de l’aparell digestiu
HERNIA HIATUS,4,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,09,Malalties de l’aparell digestiu
HIPERPLASIA PROSTATA,4,600,Hiperplàsia prostàtica,600,Hiperplàsia prostàtica,10,Malalties de l’aparell genitourinari
CARTILAGOS,4,7180,Trastorn del cartílag articular,718,Altres desarranjaments articulars,13,Malalties del sistema musculoesquelètic i el teixit connectiu
CEFALEAS,4,7231,Cervicàlgia,723,Altres trastorns de la regió cervical,13,Malalties del sistema musculoesquelètic i el teixit connectiu
CERVICALGIA,4,7231,Cervicàlgia,723,Altres trastorns de la regió cervical,13,Malalties del sistema musculoesquelètic i el teixit connectiu
DOLORES MUSCULARES,4,7291,Miàlgia i miositis no especificades,729,Altres trastorns dels teixits tous,13,Malalties del sistema musculoesquelètic i el teixit connectiu
DOLOR DE HUESOS,4,7339,Altres trastorns i trastorns no especificats de l'os i el cartílag,733,Altres trastorns de l'os i el cartílag,13,Malalties del sistema musculoesquelètic i el teixit connectiu
OSTOPENIA,4,73390,Trastorn no especificat de l'os i el cartílag,733,Altres trastorns de l'os i el cartílag,13,Malalties del sistema musculoesquelètic i el teixit connectiu
MALESTAR,4,7807,Malestar i fatiga,780,Símptomes generals,16,"Símptomes, signes i afeccions mal definides"
APNEA,4,78603,Apnea,786,Símptomes que afecten l'aparell respiratori i altres símptomes toràcics,16,"Símptomes, signes i afeccions mal definides"
TOS,4,7862,Tos,786,Símptomes que afecten l'aparell respiratori i altres símptomes toràcics,16,"Símptomes, signes i afeccions mal definides"
ALCOHOLISMO,3,NA,NA,NA,NA,NA,NA
ANSIETAT I DEPRESSIO,3,NA,NA,NA,NA,NA,NA
ANTI-INFLAMATORI,3,NA,NA,NA,NA,NA,NA
ANTIINFLAMATORI,3,NA,NA,NA,NA,NA,NA
ANTIINFLAMATORIO,3,NA,NA,NA,NA,NA,NA
APNEA DEL SUENO,3,NA,NA,NA,NA,NA,NA
ARITMIA,3,NA,NA,NA,NA,NA,NA
ARRITMIAS,3,NA,NA,NA,NA,NA,NA
ATROSIS,3,NA,NA,NA,NA,NA,NA
BACTERIA ESTOMACAL,3,NA,NA,NA,NA,NA,NA
BIPOLARIDAD,3,NA,NA,NA,NA,NA,NA
BULIMIA,3,NA,NA,NA,NA,NA,NA
CAMES INQUIETES,3,NA,NA,NA,NA,NA,NA
CREMOR D'ESTOMAC,3,NA,NA,NA,NA,NA,NA
CREMOR ESTOMAC,3,NA,NA,NA,NA,NA,NA
DEPRESION MENOR,3,NA,NA,NA,NA,NA,NA
DERMOGRAFISME,3,NA,NA,NA,NA,NA,NA
DOLOR CADERA,3,NA,NA,NA,NA,NA,NA
DOLORS MUSCULARS,3,NA,NA,NA,NA,NA,NA
ENDOMETRIOSI,3,NA,NA,NA,NA,NA,NA
ESCLEROSIS MULTIPLE,3,NA,NA,NA,NA,NA,NA
ESPALDA / CLINICA DOLOR,3,NA,NA,NA,NA,NA,NA
FALTA FERRO,3,NA,NA,NA,NA,NA,NA
FERRO BAIX,3,NA,NA,NA,NA,NA,NA
FERROPENIA,3,NA,NA,NA,NA,NA,NA
HERNIA,3,NA,NA,NA,NA,NA,NA
HIPERTENSIO OCULAR,3,NA,NA,NA,NA,NA,NA
IMSONIO,3,NA,NA,NA,NA,NA,NA
INCONTINENCIA URINARIA,3,NA,NA,NA,NA,NA,NA
INFECCIO D'ORINA,3,NA,NA,NA,NA,NA,NA
INFECCION ORINA,3,NA,NA,NA,NA,NA,NA
INTERVENCION QUIRURGICA REDUCCION DE ESTOMAGO,3,NA,NA,NA,NA,NA,NA
LARINGE IRRITABLE,3,NA,NA,NA,NA,NA,NA
LUMBALGIA CRONICA,3,NA,NA,NA,NA,NA,NA
MAL ESQUENA,3,NA,NA,NA,NA,NA,NA
MALS DE CAP,3,NA,NA,NA,NA,NA,NA
MUSCULAR,3,NA,NA,NA,NA,NA,NA
NERVIO CIATICO,3,NA,NA,NA,NA,NA,NA
NEURALGIA,3,NA,NA,NA,NA,NA,NA
NO MOTILITAT INTESTINAL,3,NA,NA,NA,NA,NA,NA
NODULOS TIROIDES,3,NA,NA,NA,NA,NA,NA
ORINA,3,NA,NA,NA,NA,NA,NA
PALPITACIONES,3,NA,NA,NA,NA,NA,NA
PARA LOS HUESOS,3,NA,NA,NA,NA,NA,NA
PARQUISON,3,NA,NA,NA,NA,NA,NA
PEDRES VESICULA,3,NA,NA,NA,NA,NA,NA
PER QUEDAR-ME EMBARASSADA,3,NA,NA,NA,NA,NA,NA
PICORS,3,NA,NA,NA,NA,NA,NA
PIEDRA EN EL RINON,3,NA,NA,NA,NA,NA,NA
PIELONEFRITIS,3,NA,NA,NA,NA,NA,NA
PLEURITIS TUBERCULOSA,3,NA,NA,NA,NA,NA,NA
PNEUMONIA,3,NA,NA,NA,NA,NA,NA
POLIOMIELITIS,3,NA,NA,NA,NA,NA,NA
PRESIO,3,NA,NA,NA,NA,NA,NA
PRESION ARTERIAL,3,NA,NA,NA,NA,NA,NA
PROBLEMES CERVICALS,3,NA,NA,NA,NA,NA,NA
PROTECTOR D'ESTOMAG,3,NA,NA,NA,NA,NA,NA
PROTEINURIA,3,NA,NA,NA,NA,NA,NA
PSIQUIATRIC,3,NA,NA,NA,NA,NA,NA
REDUCCIO D'ESTOMAC,3,NA,NA,NA,NA,NA,NA
RETENCIO DE LIQUIDS,3,NA,NA,NA,NA,NA,NA
RETENCION LIQUIDOS,3,NA,NA,NA,NA,NA,NA
REUMATISME PALINDROMIC,3,NA,NA,NA,NA,NA,NA
SANG,3,NA,NA,NA,NA,NA,NA
SEQUEDAT OCULAR,3,NA,NA,NA,NA,NA,NA
SINDROME DE MENIERE,3,NA,NA,NA,NA,NA,NA
TDA,3,NA,NA,NA,NA,NA,NA
TDH,3,NA,NA,NA,NA,NA,NA
TENSIO OCULAR,3,NA,NA,NA,NA,NA,NA
TLP,3,NA,NA,NA,NA,NA,NA
TRANQUILIZANTE,3,NA,NA,NA,NA,NA,NA
VEJIGA HIPERACTIVA,3,NA,NA,NA,NA,NA,NA
VITAMINA,3,NA,NA,NA,NA,NA,NA
VITAMINES,3,NA,NA,NA,NA,NA,NA
HIPOTIROIDES,3,2449,Hipotiroïdisme no especificat,244,Hipotiroïdisme adquirit,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
TIROIDE,3,2469,Trastorn no especificat de la tiroide,246,Altres trastorns de la tiroide,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
HIPERCOLESTEROLEMIA FAMILIAR,3,2720,Hipercolesterolèmia pura,272,Trastorns del metabolisme dels lípids,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
FALTA DE HIERRO,3,2750,Trastorns del metabolisme del ferro,275,Trastorns del metabolisme mineral,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
ANSIEDAD GENERALIZADA,3,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
PARA LA ANSIEDAD,3,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
TRASTORN ANSIETAT,3,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
DEPRESSIO REACTIVA,3,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
PIERNAS INQUIETAS,3,33394,Síndrome de les cames inquietes (SCI),333,Altres malalties extrapiramidals i trastorns de moviment anormal,06,Malalties del sistema nerviós i els òrgans dels sentits
ANALGESICO,3,338,Dolor no classificat a cap altre lloc,338,Dolor no classificat a cap altre lloc,06,Malalties del sistema nerviós i els òrgans dels sentits
PRESION OCULAR,3,36504,Hipertensió ocular,365,Glaucoma,06,Malalties del sistema nerviós i els òrgans dels sentits
CONJUNTIVITIS,3,372,Trastorns de la conjuntiva,372,Trastorns de la conjuntiva,06,Malalties del sistema nerviós i els òrgans dels sentits
HIPERTENSION ARTERIAL,3,401,Hipertensió essencial,401,Hipertensió essencial,07,Malalties de l’aparell circulatori
ESOFAGUITIS,3,53010,Esofagitis no especificada,530,Malalties d'esòfag,09,Malalties de l’aparell digestiu
REFLUJOS,3,53081,Reflux esofàgic,530,Malalties d'esòfag,09,Malalties de l’aparell digestiu
REFLUX GASTRIC,3,53081,Reflux esofàgic,530,Malalties d'esòfag,09,Malalties de l’aparell digestiu
APENDICITIS,3,5409,Apendicitis aguda sense menció de peritonitis,540,Apendicitis aguda,09,Malalties de l’aparell digestiu
HERNIA HIAT,3,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,09,Malalties de l’aparell digestiu
HERNIA DE YATO,3,5533,Hèrnia diafragmàtica sense menció d'obstrucció o gangrena,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,09,Malalties de l’aparell digestiu
ESTRENIMIENTO,3,5640,Restrenyiment,564,Trastorns digestius funcionals no classificats a cap altre lloc,09,Malalties de l’aparell digestiu
COLICO NEFRITICO,3,5929,Càlcul urinari no especificat,592,Càlcul renal i ureteral,10,Malalties de l’aparell genitourinari
CISTITIS,3,599,Altres trastorns de la uretra i el tracte urinari,599,Altres trastorns de la uretra i el tracte urinari,10,Malalties de l’aparell genitourinari
HIPERPLASIA BENIGNA,3,600,Hiperplàsia prostàtica,600,Hiperplàsia prostàtica,10,Malalties de l’aparell genitourinari
HBP,3,6000,Hipertròfia (benigna) de la pròstata,600,Hiperplàsia prostàtica,10,Malalties de l’aparell genitourinari
DERMATITIS SEBORREICA,3,6901,Dermatitis seborreica,690,Dermatosi eritematoescatosa,12,Malalties de la pell i el teixit subcutani
ARTROSIS RODILLA,3,715,Artrosi i trastorns relacionats,715,Artrosi i trastorns relacionats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
ESPONDILITIS ANQUILOSANT,3,7200,Espondilitis anquilosant,720,Espondilitis anquilosant i altres espondilopaties inflamatòries,13,Malalties del sistema musculoesquelètic i el teixit connectiu
HERNIA DISCAL CERVICAL,3,7229,Altres trastorns discals i trastorns discals no especificats,722,Trastorns del disc intervertebral,13,Malalties del sistema musculoesquelètic i el teixit connectiu
HERNIAS DISCALES,3,7229,Altres trastorns discals i trastorns discals no especificats,722,Trastorns del disc intervertebral,13,Malalties del sistema musculoesquelètic i el teixit connectiu
CERVICALES,3,7231,Cervicàlgia,723,Altres trastorns de la regió cervical,13,Malalties del sistema musculoesquelètic i el teixit connectiu
CERVICALS,3,7231,Cervicàlgia,723,Altres trastorns de la regió cervical,13,Malalties del sistema musculoesquelètic i el teixit connectiu
DOLOR CERVICAL,3,7231,Cervicàlgia,723,Altres trastorns de la regió cervical,13,Malalties del sistema musculoesquelètic i el teixit connectiu
ESQUENA,3,7245,Dorsàlgia no especificada,724,Altres trastorns de l'esquena i trastorns de l'esquena no especificats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
MAL DE ESQUENA,3,7245,Dorsàlgia no especificada,724,Altres trastorns de l'esquena i trastorns de l'esquena no especificats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
FIBROMALGIA,3,7291,Miàlgia i miositis no especificades,729,Altres trastorns dels teixits tous,13,Malalties del sistema musculoesquelètic i el teixit connectiu
ESCOLIOSI,3,737,Curvatura de columna vertebral,737,Curvatura de columna vertebral,13,Malalties del sistema musculoesquelètic i el teixit connectiu
ESCOLIOSIS,3,737,Curvatura de columna vertebral,737,Curvatura de columna vertebral,13,Malalties del sistema musculoesquelètic i el teixit connectiu
PER A DORMIR,3,78050,Trastorn del son no especificat,780,Símptomes generals,16,"Símptomes, signes i afeccions mal definides"
CANSAMENT,3,7807,Malestar i fatiga,780,Símptomes generals,16,"Símptomes, signes i afeccions mal definides"
APNEA DE LA SON,3,78603,Apnea,786,Símptomes que afecten l'aparell respiratori i altres símptomes toràcics,16,"Símptomes, signes i afeccions mal definides"
HIPERURICEMIA,3,7906,Altres anormalitats en la composició química de la sang,790,Resultats anormals no específics en anàlisi de sang,16,"Símptomes, signes i afeccions mal definides"
FRACTURA COSTELLA,3,8070,Fractura tancada de costella -es,807,"Fractura de costella, estern, laringe i tràquea",17,Lesions i intoxicacions
ACALASIA,2,NA,NA,NA,NA,NA,NA
ACIDESA D'ESTOMAC,2,NA,NA,NA,NA,NA,NA
ACNE,2,NA,NA,NA,NA,NA,NA
ADELGAZAR,2,NA,NA,NA,NA,NA,NA
AGORAFOBIA,2,NA,NA,NA,NA,NA,NA
AL.LERGIA,2,NA,NA,NA,NA,NA,NA
ALOPECIA AREATA,2,NA,NA,NA,NA,NA,NA
ALZHEIMER,2,NA,NA,NA,NA,NA,NA
AMIGDALITIS,2,NA,NA,NA,NA,NA,NA
ANGINA DE PIT,2,NA,NA,NA,NA,NA,NA
ANGINAS,2,NA,NA,NA,NA,NA,NA
ANGINES,2,NA,NA,NA,NA,NA,NA
ANIMO,2,NA,NA,NA,NA,NA,NA
"ANSIEDAD, ESTRES, FALTA DE SUENO",2,NA,NA,NA,NA,NA,NA
ANSIEDAD/DEPRESION,2,NA,NA,NA,NA,NA,NA
ANSIETAT/DEPRESSIO,2,NA,NA,NA,NA,NA,NA
ANTIACIDO,2,NA,NA,NA,NA,NA,NA
ANTIBABY,2,NA,NA,NA,NA,NA,NA
ANTICONCEPCION,2,NA,NA,NA,NA,NA,NA
ANTICONCEPTIVA,2,NA,NA,NA,NA,NA,NA
ANTICONCEPTIVAS,2,NA,NA,NA,NA,NA,NA
ANTIINFLAMATORIOS,2,NA,NA,NA,NA,NA,NA
ATM,2,NA,NA,NA,NA,NA,NA
BAIXA DE FERRO,2,NA,NA,NA,NA,NA,NA
BRONQUIOS,2,NA,NA,NA,NA,NA,NA
BRUCELOSIS,2,NA,NA,NA,NA,NA,NA
BUDELL IRRITABLE,2,NA,NA,NA,NA,NA,NA
CAIDA CABELLO,2,NA,NA,NA,NA,NA,NA
CAIGUDA DE CABELL,2,NA,NA,NA,NA,NA,NA
CARENCIA VITAMINA D,2,NA,NA,NA,NA,NA,NA
CATARATAS,2,NA,NA,NA,NA,NA,NA
CEFALALGIA OCASIONAL,2,NA,NA,NA,NA,NA,NA
CIRURGIA BARIATRICA,2,NA,NA,NA,NA,NA,NA
CLORESTEROL,2,NA,NA,NA,NA,NA,NA
COL?LOCACIO STENT,2,NA,NA,NA,NA,NA,NA
COLICOS NEFRITICOS,2,NA,NA,NA,NA,NA,NA
COLOM,2,NA,NA,NA,NA,NA,NA
CONSTIPAT,2,NA,NA,NA,NA,NA,NA
CONTROL GLOUCOMA,2,NA,NA,NA,NA,NA,NA
CONTROLARLA,2,NA,NA,NA,NA,NA,NA
COSTIPAT,2,NA,NA,NA,NA,NA,NA
DEFICIT D'ABSORCIO,2,NA,NA,NA,NA,NA,NA
DEFICIT VITAMINES,2,NA,NA,NA,NA,NA,NA
DEIXAR DE FUMAR,2,NA,NA,NA,NA,NA,NA
DEPRESIO/ANSIETAT.,2,NA,NA,NA,NA,NA,NA
DEPRESSIO REACTIVA MALALTIA FAMILIAR,2,NA,NA,NA,NA,NA,NA
DEPRESSION,2,NA,NA,NA,NA,NA,NA
DIETA,2,NA,NA,NA,NA,NA,NA
DIGESTIVO,2,NA,NA,NA,NA,NA,NA
DISCOPATIA DEGENERATIVA,2,NA,NA,NA,NA,NA,NA
DISFAGIA,2,NA,NA,NA,NA,NA,NA
DISFUNCION ERECTIL,2,NA,NA,NA,NA,NA,NA
DISTONIA,2,NA,NA,NA,NA,NA,NA
DISTROFIA DISTAL REFLEJA,2,NA,NA,NA,NA,NA,NA
DIVERCULITIS,2,NA,NA,NA,NA,NA,NA
DIVERTICULOS,2,NA,NA,NA,NA,NA,NA
DOLOR ARTICULACIONS,2,NA,NA,NA,NA,NA,NA
DOLOR BRAZO,2,NA,NA,NA,NA,NA,NA
DOLOR CERVICALS - TINC HERNIA,2,NA,NA,NA,NA,NA,NA
DOLOR CRONIC,2,NA,NA,NA,NA,NA,NA
DOLOR DE CABEZA Y MALESTAR,2,NA,NA,NA,NA,NA,NA
DOLOR MUSCULATURA,2,NA,NA,NA,NA,NA,NA
DOLOR NEUROPATIC,2,NA,NA,NA,NA,NA,NA
DOLOR POR ROTURA,2,NA,NA,NA,NA,NA,NA
DOLORS D'ESQUENA,2,NA,NA,NA,NA,NA,NA
DOLORS VARIS,2,NA,NA,NA,NA,NA,NA
EMBOLIA ARTERIAL CAMA DRETA,2,NA,NA,NA,NA,NA,NA
ENDOMETROSIS,2,NA,NA,NA,NA,NA,NA
ERITEMA NODOSO,2,NA,NA,NA,NA,NA,NA
ESOFAGO DE BARRET,2,NA,NA,NA,NA,NA,NA
ESTAT NERVIOS,2,NA,NA,NA,NA,NA,NA
ESTOMEG,2,NA,NA,NA,NA,NA,NA
ESTRES/ANSIETAT,2,NA,NA,NA,NA,NA,NA
FALTA DE AIRE / ASFIXIA,2,NA,NA,NA,NA,NA,NA
FATIGA,2,NA,NA,NA,NA,NA,NA
FERRITINA,2,NA,NA,NA,NA,NA,NA
FIBRILACION AURICULAR,2,NA,NA,NA,NA,NA,NA
FOBIA SOCIAL,2,NA,NA,NA,NA,NA,NA
FONGS PEUS,2,NA,NA,NA,NA,NA,NA
FRIBROMIALGIA,2,NA,NA,NA,NA,NA,NA
GASES,2,NA,NA,NA,NA,NA,NA
GENERACIO DE CARTILAC,2,NA,NA,NA,NA,NA,NA
GOLL MULTINODULAR,2,NA,NA,NA,NA,NA,NA
GRIP,2,NA,NA,NA,NA,NA,NA
HERNIA ESTOMAC,2,NA,NA,NA,NA,NA,NA
HERNIA HIATAL,2,NA,NA,NA,NA,NA,NA
HERNIAS,2,NA,NA,NA,NA,NA,NA
HERNIES DISCALS,2,NA,NA,NA,NA,NA,NA
HERPES LABIAL,2,NA,NA,NA,NA,NA,NA
HIPERMENORREA,2,NA,NA,NA,NA,NA,NA
HIPERPLASIA DE PROSTATA,2,NA,NA,NA,NA,NA,NA
HIPERTENSION OCULAR,2,NA,NA,NA,NA,NA,NA
HIPERTROFIA PROSTATA,2,NA,NA,NA,NA,NA,NA
HORMONAS,2,NA,NA,NA,NA,NA,NA
INFECCIO ORINA,2,NA,NA,NA,NA,NA,NA
INFLAMACION DE LA PROSTATA,2,NA,NA,NA,NA,NA,NA
INSOMMI,2,NA,NA,NA,NA,NA,NA
LAXANT,2,NA,NA,NA,NA,NA,NA
LIQUEN PLA,2,NA,NA,NA,NA,NA,NA
LO MISMO,2,NA,NA,NA,NA,NA,NA
LUMBAGIA,2,NA,NA,NA,NA,NA,NA
LUMBALGIA I CERVICALGIA,2,NA,NA,NA,NA,NA,NA
LUXACION NERVIO CUBITAL,2,NA,NA,NA,NA,NA,NA
MAL DE COLL,2,NA,NA,NA,NA,NA,NA
MALT DE CAP,2,NA,NA,NA,NA,NA,NA
MANCA DE CALCI,2,NA,NA,NA,NA,NA,NA
MANCA DE FERRO,2,NA,NA,NA,NA,NA,NA
MAREOS,2,NA,NA,NA,NA,NA,NA
MENIERE,2,NA,NA,NA,NA,NA,NA
MENINGIOMA,2,NA,NA,NA,NA,NA,NA
MENISCO,2,NA,NA,NA,NA,NA,NA
MENOPAUSA PRECOC,2,NA,NA,NA,NA,NA,NA
MENSTRUACION,2,NA,NA,NA,NA,NA,NA
METRORRAGIA,2,NA,NA,NA,NA,NA,NA
MIGRANAS,2,NA,NA,NA,NA,NA,NA
MIOCARDIOPATIA HIPERTROFICA,2,NA,NA,NA,NA,NA,NA
MONONUCLEOSI INFECCIOSA,2,NA,NA,NA,NA,NA,NA
"MUCOSES VIES ALTES """"""""ATOPIQUES""""""""",2,NA,NA,NA,NA,NA,NA
MUCOSITAT,2,NA,NA,NA,NA,NA,NA
NINGUNA,2,NA,NA,NA,NA,NA,NA
NODULOS,2,NA,NA,NA,NA,NA,NA
OCULAR,2,NA,NA,NA,NA,NA,NA
OJOS,2,NA,NA,NA,NA,NA,NA
ORAL,2,NA,NA,NA,NA,NA,NA
PAGET,2,NA,NA,NA,NA,NA,NA
PARA LOS NERVIOS,2,NA,NA,NA,NA,NA,NA
PARATIDOIDES,2,NA,NA,NA,NA,NA,NA
PEDRES AL RONYO,2,NA,NA,NA,NA,NA,NA
PEL FERRO,2,NA,NA,NA,NA,NA,NA
PELL,2,NA,NA,NA,NA,NA,NA
PERICARDITIS AGUDA,2,NA,NA,NA,NA,NA,NA
PICORES,2,NA,NA,NA,NA,NA,NA
PIEL,2,NA,NA,NA,NA,NA,NA
PILDORA ANTICONCEPTIVA,2,NA,NA,NA,NA,NA,NA
PLAQUETOPENIA,2,NA,NA,NA,NA,NA,NA
PLEURITIS,2,NA,NA,NA,NA,NA,NA
PNEUMOTORAX,2,NA,NA,NA,NA,NA,NA
POLIPS ENDOMETRI,2,NA,NA,NA,NA,NA,NA
POLIPS NASALS,2,NA,NA,NA,NA,NA,NA
POLIPS VESICULA,2,NA,NA,NA,NA,NA,NA
POR CIRUJIA,2,NA,NA,NA,NA,NA,NA
PRECAUCION,2,NA,NA,NA,NA,NA,NA
PRESCRIPCIO MEDICA,2,NA,NA,NA,NA,NA,NA
PRESIO ARTERIAL,2,NA,NA,NA,NA,NA,NA
PRESIO OCULAR ALTA,2,NA,NA,NA,NA,NA,NA
PRESSIO,2,NA,NA,NA,NA,NA,NA
PREVENCION,2,NA,NA,NA,NA,NA,NA
PROBLEMAS DIGESTIVOS,2,NA,NA,NA,NA,NA,NA
PROBLEMAS EN LAS CERVICALES,2,NA,NA,NA,NA,NA,NA
PROLACTINA,2,NA,NA,NA,NA,NA,NA
PROTATA,2,NA,NA,NA,NA,NA,NA
PROTECCION GASTRICA,2,NA,NA,NA,NA,NA,NA
PSICOSIS,2,NA,NA,NA,NA,NA,NA
QUERATITIS,2,NA,NA,NA,NA,NA,NA
RADICULOPATIA,2,NA,NA,NA,NA,NA,NA
REFORC,2,NA,NA,NA,NA,NA,NA
REGLAS ABUNDANTES,2,NA,NA,NA,NA,NA,NA
REGLES ABUNDANTS,2,NA,NA,NA,NA,NA,NA
REGULAR LA REGLA,2,NA,NA,NA,NA,NA,NA
RELAJACION,2,NA,NA,NA,NA,NA,NA
RELAJACION MUSCULAR,2,NA,NA,NA,NA,NA,NA
RESPIRACION,2,NA,NA,NA,NA,NA,NA
REUMA A LA SANG,2,NA,NA,NA,NA,NA,NA
RINON,2,NA,NA,NA,NA,NA,NA
RISC DE DEPRESSIO,2,NA,NA,NA,NA,NA,NA
RONYO,2,NA,NA,NA,NA,NA,NA
SINDROME DE SJOGREN,2,NA,NA,NA,NA,NA,NA
SINDROME SECO,2,NA,NA,NA,NA,NA,NA
SINDROME SJOGREN,2,NA,NA,NA,NA,NA,NA
SOBREPES,2,NA,NA,NA,NA,NA,NA
SOFOCOS,2,NA,NA,NA,NA,NA,NA
STRESS,2,NA,NA,NA,NA,NA,NA
SUCRE EN SANG,2,NA,NA,NA,NA,NA,NA
SUPLEMENTS VITAMINICS,2,NA,NA,NA,NA,NA,NA
TABAC,2,NA,NA,NA,NA,NA,NA
TABAQUISME,2,NA,NA,NA,NA,NA,NA
TBC,2,NA,NA,NA,NA,NA,NA
TENDONS,2,NA,NA,NA,NA,NA,NA
TERAPIA HORMONAL SUSTITUTIVA,2,NA,NA,NA,NA,NA,NA
TIFUS,2,NA,NA,NA,NA,NA,NA
TINITUS,2,NA,NA,NA,NA,NA,NA
TINNITUS,2,NA,NA,NA,NA,NA,NA
TIROIDECTOMIA,2,NA,NA,NA,NA,NA,NA
TIROIDECTOMIA TOTAL,2,NA,NA,NA,NA,NA,NA
TRANQUILITZANT,2,NA,NA,NA,NA,NA,NA
TRANSTORN BIPOLAR,2,NA,NA,NA,NA,NA,NA
TRANSTORNO DEL SUENO,2,NA,NA,NA,NA,NA,NA
TRAUMATISMES VARIS,2,NA,NA,NA,NA,NA,NA
TREMOLOR A LES MANS,2,NA,NA,NA,NA,NA,NA
TRIGLICERITS,2,NA,NA,NA,NA,NA,NA
TROMBOFLEBITIS,2,NA,NA,NA,NA,NA,NA
TUBERCULOSIS PULMONAR,2,NA,NA,NA,NA,NA,NA
ULCERA DE ESTOMAGO,2,NA,NA,NA,NA,NA,NA
ULCUS DUODENAL,2,NA,NA,NA,NA,NA,NA
URTICARIA,2,NA,NA,NA,NA,NA,NA
URTICARIA CRONICA,2,NA,NA,NA,NA,NA,NA
URTICARIA VASCULAR,2,NA,NA,NA,NA,NA,NA
VARICELA,2,NA,NA,NA,NA,NA,NA
VARICOCELE,2,NA,NA,NA,NA,NA,NA
VERTIGENS,2,NA,NA,NA,NA,NA,NA
VIH,2,NA,NA,NA,NA,NA,NA
VIRUS PAPILOMA,2,NA,NA,NA,NA,NA,NA
MIOMAS,2,2189,"Liomioma uterí, localització no especificada",218,Liomioma uterí,02,Neoplàsies
MIOMAS UTERINOS,2,2189,"Liomioma uterí, localització no especificada",218,Liomioma uterí,02,Neoplàsies
HIPOTIRODISME,2,2449,Hipotiroïdisme no especificat,244,Hipotiroïdisme adquirit,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
HIPOTIRODISMO,2,2449,Hipotiroïdisme no especificat,244,Hipotiroïdisme adquirit,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
HIPOTIROIDISMO HASHIMOTO,2,2449,Hipotiroïdisme no especificat,244,Hipotiroïdisme adquirit,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
HIPOTIROISDISMO,2,2449,Hipotiroïdisme no especificat,244,Hipotiroïdisme adquirit,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
HOPOTIROIDISME,2,2449,Hipotiroïdisme no especificat,244,Hipotiroïdisme adquirit,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
HPOTIROIDISME,2,2449,Hipotiroïdisme no especificat,244,Hipotiroïdisme adquirit,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
TIROIDITIS AUTOINMUNE,2,245,Tiroïditis,245,Tiroïditis,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
TIROIDISME,2,2469,Trastorn no especificat de la tiroide,246,Altres trastorns de la tiroide,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
TIROIDISMO,2,2469,Trastorn no especificat de la tiroide,246,Altres trastorns de la tiroide,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
DIABETES GESTACIONAL,2,250,Diabetis mellitus,250,Diabetis mellitus,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
DIABETIS,2,250,Diabetis mellitus,250,Diabetis mellitus,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
